"AGE";"EDUC";"EMPSTA";"FREQ";"MUN_DENSITY_LEVEL";"PCS_ESE";"QUANTILE_NIVVIE";"SEX";"TICM_MEASURE";"OBS_STATUS";"TIME_PERIOD";"OBS_VALUE"
"_T";"_T";"_T";"A";"_T";"_T";"Q2";"_T";"EQUIP_ORDI";"L";2024;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2023;96.6
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2023;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2023;
"Y15T44";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2023;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2023;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_INT";"A";2024;91.6
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2023;
"Y45T59";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2023;98.8
"_T";"_T";"1";"A";"_T";"1T2";"_T";"_T";"EQUIP_LISEUSE";"L";2023;
"Y60T74";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2010;
"_T";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2010;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_ORDI";"L";2009;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2009;67.2
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2010;92.7
"Y15T44";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2009;
"_T";"_T";"_T";"A";"_T";"_T";"Q1";"_T";"EQUIP_LISEUSE";"L";2010;
"Y15T44";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2009;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2009;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_SMARTPHONE";"L";2009;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2010;
"Y45T59";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2018;91.5
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_ORDI";"L";2018;
"_T";"_T";"_T";"A";"_T";"_T";"Q2";"_T";"EQUIP_TAB";"L";2019;
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2019;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_X_OUTILS_NUM";"L";2018;
"_T";"_T";"1";"A";"_T";"3";"_T";"_T";"EQUIP_SMARTPHONE";"L";2019;
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"HAUT_DEBIT";"L";2018;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_TAB";"L";2018;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2019;
"Y15T44";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2019;
"_T";"_T";"_T";"A";"PERI_URBAN_RURAL";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2019;
"Y45T59";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2021;
