"AGE";"EP_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"SEASONAL_ADJUST";"SEX";"UNIT_MEASURE";"DECIMALS";"OBS_STATUS";"OBS_STATUS_FR";"UNIT_MULT";"TIME_PERIOD";"OBS_VALUE"
"_T";"EVO_MIGRAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2012;90831
"Y_GE75";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2016;6102610
"_T";"AVERAGE_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1993;57467085
"Y20T59";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2021;33460621
"_T";"EVO_NAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1995;197991
"Y_GE75";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2007;5301350
"Y20T59";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2016;33635130
"Y20T59";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";2003;16146421
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1999;1451677
"_T";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2006;61399733
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";2001;7706472
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1993;1218796
"Y_GE60";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1961;3057991
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1994;7765056
"_T";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"R";"D";"0";2022;65846255
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1988;1254428
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1948;918959
"Y_GE60";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2015;8962953
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2011;3564568
"Y_LT15";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1998;5417888
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1960;7191564
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1997;14602929
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2016;14059253
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1961;7353099
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1996;7357487
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2003;7385310
"Y_LT15";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1956;10767351
"Y_GE60";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2012;15007705
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2009;15368840
"Y_LT15";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1979;12208928
"Y_LT15";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1988;11489459
"Y_LT15";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1968;12523906
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2001;28817189
